dropout,genre,hidden_dim,kernel_size,train_loss,train_score,val_loss,val_score
0.025,slate,32,3,1.06102274735058,0.5285643318430203,1.039568595543593,0.4660678642714571
0.025,travel,32,3,0.35504311956605467,0.877038895859473,1.6453108804531835,0.4969450101832994
0.025,telephone,32,3,0.8764356221750693,0.6737704918032786,1.0104118459260285,0.5323383084577115
0.025,fiction,32,3,0.4831635488956638,0.8407194994786236,1.5252152547165376,0.5065326633165829
0.025,government,32,3,0.5768236770262707,0.8184393510172547,1.110402667616296,0.5551181102362205
